,geonameid,name,asciiname,latitude,longitude,country code
186814,6630920,Cathedral Crags,Cathedral Crags,-62.98953,-60.55152,AQ
186815,6630921,Cathedral Peaks,Cathedral Peaks,-84.73333000000001,-175.66666999999998,AQ
186816,6630922,Cathedral Rocks,Cathedral Rocks,-77.85,162.5,AQ
186817,6630923,"Catodon, rocas","Catodon, rocas",-63.5,-59.966,AQ
186818,6630924,Catspaw Glacier,Catspaw Glacier,-77.71667,161.7,AQ
186819,6630925,Alligator Island,Alligator Island,-66.55,97.66667,AQ
186820,6630926,"Catwalk, The","Catwalk, The",-64.50603000000001,-60.923,AQ
186821,6630927,Caudal Hills,Caudal Hills,-73.16667,161.83333000000002,AQ
186822,6630928,Caughley Beach,Caughley Beach,-77.23333000000001,166.41666999999998,AQ
186823,6630929,Cauldron Lake,Cauldron Lake,-66.64,99.39166999999999,AQ
186824,6630930,Caulfield Glacier,Caulfield Glacier,-66.16973,-64.8451,AQ
186825,6630931,Caussinknappen,Caussinknappen,-72.33166999999999,23.225,AQ
186826,6630932,"Atención, punta","Atencion, punta",-65.25965,-62.01005,AQ
186827,6630933,"Cavalier, roca","Cavalier, roca",-67.8247,-69.46155999999999,AQ
186828,6630934,"Cavaney, Mount","Cavaney, Mount",-74.05,163.05,AQ
186829,6630935,Alligator Peak,Alligator Peak,-78.46667,158.71667,AQ
186830,6630936,Cave Island,Cave Island,-62.44876,-60.06074,AQ
186831,6630937,Cave Ravine,Cave Ravine,-66.37083,110.44443999999999,AQ
186832,6630938,Cavendish Rocks,Cavendish Rocks,-77.83333,161.4,AQ
